,ft_hash,topic,livefyre_id
0,046c77e-8615-11e6-8897-2359a58ac7a5,Russia,MDQ2Yzc3ZS04NjE1LTExZTYtODg5Ny0yMzU5YTU4YWM3YTU.
1,df978a48-85f2-11e6-a29c-6e7d9515ad15,Russia,ZGY5NzhhNDgtODVmMi0xMWU2LWEyOWMtNmU3ZDk1MTVhZDE1
2,afb4972-8650-11e6-8897-2359a58ac7a5,Russia,YWZiNDk3Mi04NjUwLTExZTYtODg5Ny0yMzU5YTU4YWM3YTU.
3,59429afa-8647-11e6-8897-2359a58ac7a5,Russia,NTk0MjlhZmEtODY0Ny0xMWU2LTg4OTctMjM1OWE1OGFjN2E1
4,fabe060-862f-11e6-8897-2359a58ac7a5,Russia,ZmFiZTA2MC04NjJmLTExZTYtODg5Ny0yMzU5YTU4YWM3YTU.
5,b61f3e80-8643-11e6-a29c-6e7d9515ad15,Russia,YjYxZjNlODAtODY0My0xMWU2LWEyOWMtNmU3ZDk1MTVhZDE1
6,8673e8d6-861e-11e6-a29c-6e7d9515ad15,Russia,ODY3M2U4ZDYtODYxZS0xMWU2LWEyOWMtNmU3ZDk1MTVhZDE1
7,5eb9614-8626-11e6-a29c-6e7d9515ad15,Russia,NWViOTYxNC04NjI2LTExZTYtYTI5Yy02ZTdkOTUxNWFkMTU.
8,4c32fd0b-e283-355d-a946-253eb7dd075,Russia,NGMzMmZkMGItZTI4My0zNTVkLWE5NDYtMjUzZWI3ZGQwNzU.
10,48940c6f-702e-3846-92b5-013b73381ec0,Russia,NDg5NDBjNmYtNzAyZS0zODQ2LTkyYjUtMDEzYjczMzgxZWMw
11,f6f7d214-f4c2-3932-b7fc-42da06ceb5c5,Russia,ZjZmN2QyMTQtZjRjMi0zOTMyLWI3ZmMtNDJkYTA2Y2ViNWM1
12,4f2154b0-860d-11e6-8897-2359a58ac7a5,Russia,NGYyMTU0YjAtODYwZC0xMWU2LTg4OTctMjM1OWE1OGFjN2E1
13,4682e514-6083-323e-8ac0-8e9e6ec744dd,Russia,NDY4MmU1MTQtNjA4My0zMjNlLThhYzAtOGU5ZTZlYzc0NGRk
14,b239dc22-855c-11e6-a29c-6e7d9515ad15,Russia,YjIzOWRjMjItODU1Yy0xMWU2LWEyOWMtNmU3ZDk1MTVhZDE1
15,693422de-0ef5-3172-bdf6-eac4d3ccc62f,Russia,NjkzNDIyZGUtMGVmNS0zMTcyLWJkZjYtZWFjNGQzY2NjNjJm
16,a9b39b84-85a6-11e6-8897-2359a58ac7a5,Russia,YTliMzliODQtODVhNi0xMWU2LTg4OTctMjM1OWE1OGFjN2E1
17,944d18ce-8588-11e6-a29c-6e7d9515ad15,Russia,OTQ0ZDE4Y2UtODU4OC0xMWU2LWEyOWMtNmU3ZDk1MTVhZDE1
18,44b12772-855d-11e6-a29c-6e7d9515ad15,Russia,NDRiMTI3NzItODU1ZC0xMWU2LWEyOWMtNmU3ZDk1MTVhZDE1
19,5e656d94-8559-11e6-a29c-6e7d9515ad15,Russia,NWU2NTZkOTQtODU1OS0xMWU2LWEyOWMtNmU3ZDk1MTVhZDE1
20,3d496b66-858f-11e6-8897-2359a58ac7a5,Russia,M2Q0OTZiNjYtODU4Zi0xMWU2LTg4OTctMjM1OWE1OGFjN2E1
21,da04f5e4-8551-11e6-a29c-6e7d9515ad15,Russia,ZGEwNGY1ZTQtODU1MS0xMWU2LWEyOWMtNmU3ZDk1MTVhZDE1
22,68b7b57a-84c0-11e6-a29c-6e7d9515ad15,Russia,NjhiN2I1N2EtODRjMC0xMWU2LWEyOWMtNmU3ZDk1MTVhZDE1
23,615316f6-83cd-11e6-8897-2359a58ac7a5,Russia,NjE1MzE2ZjYtODNjZC0xMWU2LTg4OTctMjM1OWE1OGFjN2E1
24,79e08d7e-8572-11e6-a29c-6e7d9515ad15,Russia,NzllMDhkN2UtODU3Mi0xMWU2LWEyOWMtNmU3ZDk1MTVhZDE1
25,364b341e-ec37-388d-877c-e810eeaeb2af,Russia,MzY0YjM0MWUtZWMzNy0zODhkLTg3N2MtZTgxMGVlYWViMmFm
26,6155d3-3d5e-33eb-8971-1d0a75b99550,Russia,NjE1NWQzLTNkNWUtMzNlYi04OTcxLTFkMGE3NWI5OTU1MA..
27,695d39c2-8552-11e6-8897-2359a58ac7a5,Russia,Njk1ZDM5YzItODU1Mi0xMWU2LTg4OTctMjM1OWE1OGFjN2E1
29,4293b658-6a05-11e6-a0b1-d87a9fea034f,Russia,NDI5M2I2NTgtNmEwNS0xMWU2LWEwYjEtZDg3YTlmZWEwMzRm
30,5f59f6ee-84a4-11e6-8897-2359a58ac7a5,Russia,NWY1OWY2ZWUtODRhNC0xMWU2LTg4OTctMjM1OWE1OGFjN2E1
31,1bb6bd4a-84c8-11e6-a29c-6e7d9515ad15,Russia,MWJiNmJkNGEtODRjOC0xMWU2LWEyOWMtNmU3ZDk1MTVhZDE1
