,0,1
0,Georgia OR IOC OR Le+Pen OR Merkel AND lastPublishDateTime:>2014-04-01T00:00:00Z AND lastPublishDateTime:<2014-05-02T00:00:00Z,4c4c41b4-c4b3-11e3-9aeb-00144feabdc0
1,Georgia OR IOC OR Le+Pen OR Merkel AND lastPublishDateTime:>2014-05-01T00:00:00Z AND lastPublishDateTime:<2014-06-02T00:00:00Z,f5077038-e5ad-11e3-aeef-00144feabdc0
2,Georgia OR IOC OR Le+Pen OR Merkel AND lastPublishDateTime:>2014-05-01T00:00:00Z AND lastPublishDateTime:<2014-06-02T00:00:00Z,70600032-e659-11e3-9a20-00144feabdc0
3,Georgia OR IOC OR Le+Pen OR Merkel AND lastPublishDateTime:>2014-05-01T00:00:00Z AND lastPublishDateTime:<2014-06-02T00:00:00Z,f4575cb6-e4fe-11e3-9b2b-00144feabdc0
4,Georgia OR IOC OR Le+Pen OR Merkel AND lastPublishDateTime:>2014-05-01T00:00:00Z AND lastPublishDateTime:<2014-06-02T00:00:00Z,077473da-e4df-11e3-9b2b-00144feabdc0
5,Georgia OR IOC OR Le+Pen OR Merkel AND lastPublishDateTime:>2014-05-01T00:00:00Z AND lastPublishDateTime:<2014-06-02T00:00:00Z,51dd9432-db03-11e3-8273-00144feabdc0
6,Georgia OR IOC OR Le+Pen OR Merkel AND lastPublishDateTime:>2014-05-01T00:00:00Z AND lastPublishDateTime:<2014-06-02T00:00:00Z,ae6b7da0-e1b5-11e3-9999-00144feabdc0
7,Georgia OR IOC OR Le+Pen OR Merkel AND lastPublishDateTime:>2014-05-01T00:00:00Z AND lastPublishDateTime:<2014-06-02T00:00:00Z,1dc4fa80-d772-11e3-a47c-00144feabdc0
8,Georgia OR IOC OR Le+Pen OR Merkel AND lastPublishDateTime:>2014-06-01T00:00:00Z AND lastPublishDateTime:<2014-07-02T00:00:00Z,24b31ee6-fc4b-11e3-86dc-00144feab7de
9,Georgia OR IOC OR Le+Pen OR Merkel AND lastPublishDateTime:>2014-06-01T00:00:00Z AND lastPublishDateTime:<2014-07-02T00:00:00Z,a290b1d2-ed66-11e3-8a1e-00144feabdc0
10,Georgia OR IOC OR Le+Pen OR Merkel AND lastPublishDateTime:>2014-08-01T00:00:00Z AND lastPublishDateTime:<2014-09-02T00:00:00Z,31664b6a-2d09-11e4-911b-00144feabdc0
11,Georgia OR IOC OR Le+Pen OR Merkel AND lastPublishDateTime:>2014-08-01T00:00:00Z AND lastPublishDateTime:<2014-09-02T00:00:00Z,0739a1a6-2c6f-11e4-8eda-00144feabdc0
12,Georgia OR IOC OR Le+Pen OR Merkel AND lastPublishDateTime:>2014-08-01T00:00:00Z AND lastPublishDateTime:<2014-09-02T00:00:00Z,fb896038-2c3e-11e4-8eda-00144feabdc0
13,Georgia OR IOC OR Le+Pen OR Merkel AND lastPublishDateTime:>2014-10-01T00:00:00Z AND lastPublishDateTime:<2014-11-02T00:00:00Z,41971838-583e-11e4-a31b-00144feab7de
14,Georgia OR IOC OR Le+Pen OR Merkel AND lastPublishDateTime:>2014-10-01T00:00:00Z AND lastPublishDateTime:<2014-11-02T00:00:00Z,f26a9cea-4b26-11e4-8a0e-00144feab7de
15,Georgia OR IOC OR Le+Pen OR Merkel AND lastPublishDateTime:>2014-10-01T00:00:00Z AND lastPublishDateTime:<2014-11-02T00:00:00Z,910e5dc8-4ad7-11e4-b1be-00144feab7de
16,Georgia OR IOC OR Le+Pen OR Merkel AND lastPublishDateTime:>2014-12-01T00:00:00Z AND lastPublishDateTime:<2015-01-02T00:00:00Z,ea36b4ea-91c2-11e4-bfe8-00144feabdc0
17,Georgia OR IOC OR Le+Pen OR Merkel AND lastPublishDateTime:>2014-12-01T00:00:00Z AND lastPublishDateTime:<2015-01-02T00:00:00Z,c390afda-7eda-11e4-b83e-00144feabdc0
18,Georgia OR IOC OR Le+Pen OR Merkel AND lastPublishDateTime:>2015-01-01T00:00:00Z AND lastPublishDateTime:<2015-02-02T00:00:00Z,97cf4482-a6f9-11e4-8a71-00144feab7de
19,Georgia OR IOC OR Le+Pen OR Merkel AND lastPublishDateTime:>2015-01-01T00:00:00Z AND lastPublishDateTime:<2015-02-02T00:00:00Z,9161aac4-9a54-11e4-9602-00144feabdc0
20,Georgia OR IOC OR Le+Pen OR Merkel AND lastPublishDateTime:>2015-01-01T00:00:00Z AND lastPublishDateTime:<2015-02-02T00:00:00Z,d0cc3eca-9943-11e4-be30-00144feabdc0
21,Georgia OR IOC OR Le+Pen OR Merkel AND lastPublishDateTime:>2015-01-01T00:00:00Z AND lastPublishDateTime:<2015-02-02T00:00:00Z,8b15c3ba-95c4-11e4-a390-00144feabdc0
22,Georgia OR IOC OR Le+Pen OR Merkel AND lastPublishDateTime:>2015-01-01T00:00:00Z AND lastPublishDateTime:<2015-02-02T00:00:00Z,ea36b4ea-91c2-11e4-bfe8-00144feabdc0
