,0,1
0,Mueller OR Flynn OR Manafort OR Cohen AND lastPublishDateTime:>2014-01-01T00:00:00Z AND lastPublishDateTime:<2014-02-02T00:00:00Z,fb095ace-89db-11e3-8829-00144feab7de
1,Mueller OR Flynn OR Manafort OR Cohen AND lastPublishDateTime:>2014-01-01T00:00:00Z AND lastPublishDateTime:<2014-02-02T00:00:00Z,e6714e2a-876d-11e3-9c5c-00144feab7de
2,Mueller OR Flynn OR Manafort OR Cohen AND lastPublishDateTime:>2014-01-01T00:00:00Z AND lastPublishDateTime:<2014-02-02T00:00:00Z,c562a032-881f-11e3-a926-00144feab7de
3,Mueller OR Flynn OR Manafort OR Cohen AND lastPublishDateTime:>2014-01-01T00:00:00Z AND lastPublishDateTime:<2014-02-02T00:00:00Z,2ab92ae0-845c-11e3-9710-00144feab7de
4,Mueller OR Flynn OR Manafort OR Cohen AND lastPublishDateTime:>2014-01-01T00:00:00Z AND lastPublishDateTime:<2014-02-02T00:00:00Z,d44c7a00-8455-11e3-9710-00144feab7de
5,Mueller OR Flynn OR Manafort OR Cohen AND lastPublishDateTime:>2014-01-01T00:00:00Z AND lastPublishDateTime:<2014-02-02T00:00:00Z,bda6b7ae-81f1-11e3-a600-00144feab7de
6,Mueller OR Flynn OR Manafort OR Cohen AND lastPublishDateTime:>2014-01-01T00:00:00Z AND lastPublishDateTime:<2014-02-02T00:00:00Z,6239bb30-5b60-11e3-848e-00144feabdc0
7,Mueller OR Flynn OR Manafort OR Cohen AND lastPublishDateTime:>2014-01-01T00:00:00Z AND lastPublishDateTime:<2014-02-02T00:00:00Z,5c4cd614-7ecc-11e3-a2a7-00144feabdc0
8,Mueller OR Flynn OR Manafort OR Cohen AND lastPublishDateTime:>2014-01-01T00:00:00Z AND lastPublishDateTime:<2014-02-02T00:00:00Z,25ec077c-7c40-11e3-b514-00144feabdc0
9,Mueller OR Flynn OR Manafort OR Cohen AND lastPublishDateTime:>2014-01-01T00:00:00Z AND lastPublishDateTime:<2014-02-02T00:00:00Z,4200388a-7ece-11e3-8642-00144feabdc0
10,Mueller OR Flynn OR Manafort OR Cohen AND lastPublishDateTime:>2014-01-01T00:00:00Z AND lastPublishDateTime:<2014-02-02T00:00:00Z,c7121b52-7eaa-11e3-a2a7-00144feabdc0
11,Mueller OR Flynn OR Manafort OR Cohen AND lastPublishDateTime:>2014-01-01T00:00:00Z AND lastPublishDateTime:<2014-02-02T00:00:00Z,c1617cce-7a0f-11e3-a3e6-00144feabdc0
12,Mueller OR Flynn OR Manafort OR Cohen AND lastPublishDateTime:>2014-01-01T00:00:00Z AND lastPublishDateTime:<2014-02-02T00:00:00Z,8ab007be-798c-11e3-91ac-00144feabdc0
13,Mueller OR Flynn OR Manafort OR Cohen AND lastPublishDateTime:>2014-01-01T00:00:00Z AND lastPublishDateTime:<2014-02-02T00:00:00Z,85a2dcba-79d7-11e3-a3e6-00144feabdc0
14,Mueller OR Flynn OR Manafort OR Cohen AND lastPublishDateTime:>2014-01-01T00:00:00Z AND lastPublishDateTime:<2014-02-02T00:00:00Z,11ccc96c-7988-11e3-b381-00144feabdc0
